
@RELATION Closing

@ATTRIBUTE score 	 INTEGER
@ATTRIBUTE codes	{NA,S-CLOSE-P,S-ENDGB-P,S-ENDGB-R}
@ATTRIBUTE class 	{NA,Low,Medium,High}

@DATA
-1,S-ENDGB-P,Low
-1,S-ENDGB-P,Low
1,S-CLOSE-P,High
0,NA,NA
0,NA,NA
0,NA,NA
-1,S-ENDGB-P,Low
-1,S-ENDGB-P,Low
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
1,S-CLOSE-P,High
1,S-CLOSE-P,High
0,NA,NA
-1,S-ENDGB-P,Low
1,S-CLOSE-P,High
1,S-CLOSE-P,High
0,NA,NA
1,S-CLOSE-P,High
0,NA,NA
-1,S-ENDGB-P,Low
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
-1,S-ENDGB-R,Low
-1,S-ENDGB-R,Low
-1,S-ENDGB-P,Low
0,NA,NA
-1,S-ENDGB-P,Low
-1,S-ENDGB-R,Low
-1,S-ENDGB-P,Low
-1,S-ENDGB-P,Low
-1,S-ENDGB-R,Low
-1,S-ENDGB-R,Low
-1,S-ENDGB-R,Low
3,S-CLOSE-P,High
3,S-CLOSE-P,High
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
-1,S-ENDGB-P,Low
0,NA,NA
0,NA,NA
3,S-CLOSE-P,High
-1,S-ENDGB-R,Low
0,NA,NA
-1,S-ENDGB-P,Low
0,NA,NA
3,S-CLOSE-P,High
0,NA,NA
3,S-CLOSE-P,High
0,NA,NA
-1,S-ENDGB-R,Low
-1,S-ENDGB-R,Low
3,S-CLOSE-P,High
-1,S-ENDGB-R,Low
3,S-CLOSE-P,High
3,S-CLOSE-P,High
3,S-CLOSE-P,High
3,S-CLOSE-P,High
3,S-CLOSE-P,High
0,NA,NA
3,S-CLOSE-P,High
3,S-CLOSE-P,High
3,S-CLOSE-P,High
0,NA,NA
-1,S-ENDGB-P,Low
3,S-CLOSE-P,High
-1,S-ENDGB-P,Low
-1,S-ENDGB-R,Low
-1,S-ENDGB-R,Low
-1,S-ENDGB-R,Low
3,S-CLOSE-P,High
-1,S-ENDGB-R,Low
0,NA,NA

%
%
%
